gene_symbol	entrez_id	method	cell_type	cell_line	cancer_cell	senescence_type	senescence_effect	description	organism
FXR1	8087	"Knockdown, Overexpression"	"Laryngeal cancer, Tongue cancer"	"UMSCC-11A, UMSCC-11B, UMSCC-74A, UMSCC-74B, SCC4, SCC9, SCC25, CAL27"	"Yes"	"Replicative"	"Inhibits"	"Silencing of FXR1 in oral cancer cells triggers cell senescence. These cells showed increased SA-beta-galactosidase activity. Overexpressed FXR1 was found to bind and stabilise p21 and additionally bind and stabilise TERC RNA (a component of telomerase), acting to suppress cell senescence."	"Silencing of FXR1 in oral cancer cells triggers cell senescence. These cells showed increased SA-beta-galactosidase activity. Overexpressed FXR1 was found to bind and stabilise p21 and additionally bind and stabilise TERC RNA (a component of telomerase), acting to suppress cell senescence."
G6PD	2539	"Knockout"	"Foreskin fibroblast"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"Compared to normal cells, G6PD-deficient fibroblasts exhibited a slow-down in population doubling times, with a significant increase in the percentage of G(1) cells. The accelerated cellular senescence was confirmed by a significant increase in level of SA-beta-galactosidase activity."	"Compared to normal cells, G6PD-deficient fibroblasts exhibited a slow-down in population doubling times, with a significant increase in the percentage of G(1) cells. The accelerated cellular senescence was confirmed by a significant increase in level of SA-beta-galactosidase activity."
GAPDH	2597	"Knockdown"	"Lung cancer"	"A549"	"Yes"	"Replicative"	"Inhibits"	"Knockdown of GAPDH in lung cancer cells (A549) resulted in a senescence phenotype, including proliferation arrest, morphological changes, increased SA-beta-galactosidase activity, and greater than 2-fold up-regulation of senescence-associated genes DEC1 and GLB1."	"Knockdown of GAPDH in lung cancer cells (A549) resulted in a senescence phenotype, including proliferation arrest, morphological changes, increased SA-beta-galactosidase activity, and greater than 2-fold up-regulation of senescence-associated genes DEC1 and GLB1."
GATA4	2626	"Overexpression, Knockdown"	"Foreskin fibroblast, Lung fibroblast"	"IMR-90, BJ"	"No"	"Replicative, Stress-induced"	"Promotes"	"Expression of GATA4 induced senescence in human diploid fibroblasts (BJ and IMR-90). These displayed increased SA-beta-galactosidase activity and decreased BrdU incorporation. Depletion of GATA4 partially decreased ionising radiation (IR) induced SA-beta-Gal activity and delayed replicative senescence. GATA4 acts through NF-kappaB to initiate the SASP dependant on activation by ATM and ATR and independent of p53 or p16 signalling."	"Expression of GATA4 induced senescence in human diploid fibroblasts (BJ and IMR-90). These displayed increased SA-beta-galactosidase activity and decreased BrdU incorporation. Depletion of GATA4 partially decreased ionising radiation (IR) induced SA-beta-Gal activity and delayed replicative senescence. GATA4 acts through NF-kappaB to initiate the SASP dependant on activation by ATM and ATR and independent of p53 or p16 signalling."
GKN1	56287	"Overexpression"	"Gastric cancer"	"AGS, MKN1"	"Yes"	"Replicative"	"Promotes"	"GKN1 overexpression was shown to trigger senescence, followed by apoptosis via up-regulation of the p53, p21, p27, and p16 proteins and down-regulation Skp2. Telomere length in 35 gastric cancers was shortened significantly compared with the corresponding gastric mucosae. GKN1 expression was found to be inversely correlated with telomere length and c-myc and hTERT mRNA expression, these normally act to inhibit senescence."	"GKN1 overexpression was shown to trigger senescence, followed by apoptosis via up-regulation of the p53, p21, p27, and p16 proteins and down-regulation Skp2. Telomere length in 35 gastric cancers was shortened significantly compared with the corresponding gastric mucosae. GKN1 expression was found to be inversely correlated with telomere length and c-myc and hTERT mRNA expression, these normally act to inhibit senescence."
GLB1	2720	"Knockdown"	"Foreskin fibroblast"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"GLB1, the gene encoding lysosomal beta-D-galactosidase, is responsible for the SA-beta-galactosidase activity in cellular senescence. RNA interference of GLB1 in late passage normal fibroblasts lead to senescence, however cells did not express an increase in SA-beta-galactosidase ."	"GLB1, the gene encoding lysosomal beta-D-galactosidase, is responsible for the SA-beta-galactosidase activity in cellular senescence. RNA interference of GLB1 in late passage normal fibroblasts lead to senescence, however cells did not express an increase in SA-beta-galactosidase ."
GNG11	2791	"Overexpression, Knockout"	"Lung fibroblast"	"TIG-7"	"No"	"Replicative"	"Promotes"	"Overexpression of GNG11 induced cellular senescence in normal human fibroblasts, with cells displaying enlarged, flattened morphology and increased SA-beta-galactosidase activity. In contrast, down-regulation by antisense cDNA extended cell lifespan."	"Overexpression of GNG11 induced cellular senescence in normal human fibroblasts, with cells displaying enlarged, flattened morphology and increased SA-beta-galactosidase activity. In contrast, down-regulation by antisense cDNA extended cell lifespan."
GRK6	2870	"Overexpression"	"Lung fibroblast, Embryonic kidney"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
HDAC1	3065	"Overexpression"	"Cervical cancer"	"HeLa"	"Yes"	"Replicative"	"Promotes"	"HDAC1 overexpression led to senescence through both an accumulation of hypophosphorylated active retinoblastoma protein (pRb) and an increase in the level of protein phosphatase 2A catalytic subunit."	"HDAC1 overexpression led to senescence through both an accumulation of hypophosphorylated active retinoblastoma protein (pRb) and an increase in the level of protein phosphatase 2A catalytic subunit."
HDAC4	9759	"Overexpression, Knockout"	"Lung fibroblast"	"2BS"	"No"	"Replicative"	"Inhibits"	"The expression patterns of HDAC4 and Sirtuin 1 (SIRT1; the mammalian homolog of Sir2) were positively correlated during cellular senescence. Moreover, overexpression of HDAC4 delayed senescence, whereas knockdown of HDAC4 led to premature senescence in human fibroblasts."	"The expression patterns of HDAC4 and Sirtuin 1 (SIRT1; the mammalian homolog of Sir2) were positively correlated during cellular senescence. Moreover, overexpression of HDAC4 delayed senescence, whereas knockdown of HDAC4 led to premature senescence in human fibroblasts."
HEPACAM	220296	"Overexpression"	"Breast cancer"	"MCF-7"	"Yes"	"Replicative"	"Promotes"	"In breast cancer cells (MCF-7), stable transfection of HEPACAM, which is frequently downregulated in carcinomas, inhibited colony formation and cell proliferation, and lead to an increased number of cells which are arrested in the G(2)/M phase, have an enlarged morphology and display increased beta-galactosidase activity."	"In breast cancer cells (MCF-7), stable transfection of HEPACAM, which is frequently downregulated in carcinomas, inhibited colony formation and cell proliferation, and lead to an increased number of cells which are arrested in the G(2)/M phase, have an enlarged morphology and display increased beta-galactosidase activity."
HIVEP1	3096	"Knockdown"	"Foreskin fibroblast"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"Knockdown of MBP-1 (HIVEP1) in human foreskin fibroblasts resulted in an induction of premature senescence, accumulation of cells in the G1 phase, flattened cell morphology and increased SA-beta-galactosidase activity."	"Knockdown of MBP-1 (HIVEP1) in human foreskin fibroblasts resulted in an induction of premature senescence, accumulation of cells in the G1 phase, flattened cell morphology and increased SA-beta-galactosidase activity."
HJURP	55355	"Overexpression, Knockdown"	"Dermal fibroblast, Umbilical vein endothelial"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"The expression levels of HJURP decreased in human dermal fibroblasts and umbilical vein endothelial cells in replicative or premature senescence. Ectopic expression of HJURP in senescent cells partially overcame cell senescence. Conversely, downregulation of HJURP in young cells led to premature senescence."	"The expression levels of HJURP decreased in human dermal fibroblasts and umbilical vein endothelial cells in replicative or premature senescence. Ectopic expression of HJURP in senescent cells partially overcame cell senescence. Conversely, downregulation of HJURP in young cells led to premature senescence."
HK3	3101	"Overexpression"	"Lung fibroblast, Embryonic kidney"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
HMGB1	3146	"Knockdown"	"Melanoma, Lung cancer"	"A375, G361, SK-MEL-28, NCI-H1299"	"Yes"	"Replicative"	"Inhibits"	"HMGB1 known down in melanoma cells resulted in cell cycle arrest and senescence as shown by decreased BrdU incorporation and increased SA-beta-galactosidase activity. It was demonstrated that HMGB1 deficiency-induced inhibition of cell proliferation was mediated by p21, which was induced via a Sp1-dependent mechanism."	"HMGB1 known down in melanoma cells resulted in cell cycle arrest and senescence as shown by decreased BrdU incorporation and increased SA-beta-galactosidase activity. It was demonstrated that HMGB1 deficiency-induced inhibition of cell proliferation was mediated by p21, which was induced via a Sp1-dependent mechanism."
HRAS	3265	"Overexpression"	"Lung fibroblast"	"IMR-90, WI-38"	"No"	"Oncogene-induced"	"Promotes"	"Expression of oncogenic ras (HRAS) in lung fibroblasts resulted in a permanent G1 arrest, accompanied by accumulation of senescence associated factors, p53 and p16. These changes were phenotypically indistinguishable from cellular senescence."	"Expression of oncogenic ras (HRAS) in lung fibroblasts resulted in a permanent G1 arrest, accompanied by accumulation of senescence associated factors, p53 and p16. These changes were phenotypically indistinguishable from cellular senescence."
HSPA5	3309	"Overexpression, Knockout"	"Ovarian cancer"	"A2780"	"Yes"	"Stress-induced"	"Inhibits"	"Overexpression of GRP78 (HSPA5) protected cisplatin-sensitive ovarian cancer cells (A2780) from cisplatin-induced senescence through P53 and CDC2. Knockdown of GRP78 rescued the senescence sensitivity of cisplatin-resistant C13K cells to cisplatin through P21 and CDC2."	"Overexpression of GRP78 (HSPA5) protected cisplatin-sensitive ovarian cancer cells (A2780) from cisplatin-induced senescence through P53 and CDC2. Knockdown of GRP78 rescued the senescence sensitivity of cisplatin-resistant C13K cells to cisplatin through P21 and CDC2."
HSPB2	3316	"Knockdown, Overexpression"	"Breast epithelial"	"MCF-10A, MCF-7"	"No"	"Stress-induced"	"Inhibits"	"Expression of Hsp27 (HSPB2) lead to protection of mammary epithelial cells (MCF-10A) from doxorubicin-induced senescence. In contrast, down-regulation of Hsp27 in HCT116 human colon carcinoma cells, that express Hsp27 at high levels, caused senescence in a population of cells and sensitized the rest of the cells to doxorubicin-induced senescence."	"Expression of Hsp27 (HSPB2) lead to protection of mammary epithelial cells (MCF-10A) from doxorubicin-induced senescence. In contrast, down-regulation of Hsp27 in HCT116 human colon carcinoma cells, that express Hsp27 at high levels, caused senescence in a population of cells and sensitized the rest of the cells to doxorubicin-induced senescence."
ID1	3397	"Overexpression"	"Dermal endothelial, Umbilical vein endothelial"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"Overexpression of ID1 delayed the onset of replicative senescence in human endothelial cells and resulted in increased replicative capacity correlated with low gene expression of senescence markers, p16, p21, and p27."	"Overexpression of ID1 delayed the onset of replicative senescence in human endothelial cells and resulted in increased replicative capacity correlated with low gene expression of senescence markers, p16, p21, and p27."
ID4	3400	"Overexpression"	"Prostate cancer"	"DU145"	"Yes"	"Stress-induced"	"Promotes"	"ID4 was found to promote cellular senescence in prostate cancer cells (DU145). Ectopic overexpression of ID4 in androgen receptor-negative DU145 cells resulted in increased expression of p16, p21, p27, E-cadherin and vimentin but down-regulated E2F1 expression. ID4 also potentiated the effect of doxorubicin induced senescence and apoptosis."	"ID4 was found to promote cellular senescence in prostate cancer cells (DU145). Ectopic overexpression of ID4 in androgen receptor-negative DU145 cells resulted in increased expression of p16, p21, p27, E-cadherin and vimentin but down-regulated E2F1 expression. ID4 also potentiated the effect of doxorubicin induced senescence and apoptosis."
IFNG	3458	"Overexpression"	"Umbilical vein endothelial"	"Primary cell"	"No"	"Replicative"	"Promotes"	"IFN-gamma (IFNG) treatment induced cellular senescence in umbilical vein endothelial cells (HUVECs), as confirmed by G0/G1 cell cycle arrest, up-regulation of p53 and p21 protein levels, increased SA-beta-galactosidase staining and the accumulation of SA-heterochromatin foci."	"IFN-gamma (IFNG) treatment induced cellular senescence in umbilical vein endothelial cells (HUVECs), as confirmed by G0/G1 cell cycle arrest, up-regulation of p53 and p21 protein levels, increased SA-beta-galactosidase staining and the accumulation of SA-heterochromatin foci."
IGFBP1	3484	"Overexpression"	"Breast cancer"	"MCF-7"	"Yes"	"Replicative"	"Promotes"	"Transfection of IGFBP1 or addition of condition medium from IGFBP1-transfected cells to breast cancer cells (MCF-7) caused induction of several senescent phenotypes, including a decrease in cell proliferation, increase in G0/G1 cell cycle arrest cells, changes in cell morphology and increased SA-beta-galactosidase activity."	"Transfection of IGFBP1 or addition of condition medium from IGFBP1-transfected cells to breast cancer cells (MCF-7) caused induction of several senescent phenotypes, including a decrease in cell proliferation, increase in G0/G1 cell cycle arrest cells, changes in cell morphology and increased SA-beta-galactosidase activity."
IGFBP3	3486	"Knockdown"	"Lung fibroblast"	"WI-38"	"No"	"Stress-induced"	"Promotes"	"RNA interference of IGFBP3 attenuated the premature senescence induced by sub lethal doses of tert-butylhydroperoxide or ethanol."	"RNA interference of IGFBP3 attenuated the premature senescence induced by sub lethal doses of tert-butylhydroperoxide or ethanol."
IGFBP5	3488	"Overexpression, Knockout"	"Umbilical vein endothelial"	"Primary cell"	"No"	"Replicative"	"Promotes"	"Knockdown of IGFBP5 in old human umbilical endothelial cells lead to a partial reduction of the senescence phenotype, including changes in cell morphology, increased cell proliferation, and decreased SA-beta-galactosidase staining. In contrast, overexpression of IGFBP5 in young cells leads to premature senescence."	"Knockdown of IGFBP5 in old human umbilical endothelial cells lead to a partial reduction of the senescence phenotype, including changes in cell morphology, increased cell proliferation, and decreased SA-beta-galactosidase staining. In contrast, overexpression of IGFBP5 in young cells leads to premature senescence."
IGFBP6	3489	"Knockdown, Overexpression"	"Fibroblast"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"Downregulation of IGFBP6 inhibited cell proliferation, increased apoptotic cell death and led to premature entry into cellular senescence. In contrast, overexpression of IGFBP6 increased cellular lifespan."	"Downregulation of IGFBP6 inhibited cell proliferation, increased apoptotic cell death and led to premature entry into cellular senescence. In contrast, overexpression of IGFBP6 increased cellular lifespan."
IL1A	3552	"Knockout"	"Umbilical vein endothelial"	"Primary cell"	"No"	"Replicative"	"Promotes"	"Treatment of human endothelial cells with an antisense oligodeoxynucleotide of IL-1 alpha (IL1A) prevented cell senescence and extended the proliferative lifespan of cells."	"Treatment of human endothelial cells with an antisense oligodeoxynucleotide of IL-1 alpha (IL1A) prevented cell senescence and extended the proliferative lifespan of cells."
IL8	3576	"Overexpression"	"Foreskin fibroblast, Lung fibroblast"	"IMR-90, BJ, WI-38"	"No"	"Replicative"	"Promotes"	"RNA interference of the chemokine receptor CXCR2 (IL8) alleviated both replicative and oncogene-induced senescence and diminished the DNA-damage response. Conversely, ectopic expression of CXCR2 resulted in premature senescence via a p53-dependent mechanism."	"RNA interference of the chemokine receptor CXCR2 (IL8) alleviated both replicative and oncogene-induced senescence and diminished the DNA-damage response. Conversely, ectopic expression of CXCR2 resulted in premature senescence via a p53-dependent mechanism."
ING1	3621	"Overexpression"	"Foreskin fibroblast"	"Hs68"	"No"	"Replicative"	"Promotes"	"Fibroblasts overexpressing the ING1a isoform resulted in cell cycle arrest with cells displaying a senescent-like flattened morphology, an increase in SA-heterochromatin foci and increased SA-beta-galactosidase activity. In contrast, overexpressing the ING1b isoform induced nuclear changes characteristic to apoptosis."	"Fibroblasts overexpressing the ING1a isoform resulted in cell cycle arrest with cells displaying a senescent-like flattened morphology, an increase in SA-heterochromatin foci and increased SA-beta-galactosidase activity. In contrast, overexpressing the ING1b isoform induced nuclear changes characteristic to apoptosis."
ING2	3622	"Overexpression, Knockout"	"Lung fibroblast"	"MRC-5"	"No"	"Replicative"	"Promotes"	"Overexpression of ING2 induced cellular senescence in young fibroblasts in a p53-dependent manner. In contrast, RNA interference of ING2 delayed the onset of senescence."	"Overexpression of ING2 induced cellular senescence in young fibroblasts in a p53-dependent manner. In contrast, RNA interference of ING2 delayed the onset of senescence."
IRF3	3661	"Overexpression"	"Foreskin fibroblast"	"BJ"	"No"	"Replicative"	"Promotes"	"Overexpression of IRF3 in foreskin fibroblasts (BJ cells) decreased cell growth and increased SA-beta-galactosidase activity by activating p53."	"Overexpression of IRF3 in foreskin fibroblasts (BJ cells) decreased cell growth and increased SA-beta-galactosidase activity by activating p53."
IRF5	3663	"Overexpression"	"Li Fraumeni syndrome fibroblast"	"MDAH041"	"Yes"	"Replicative"	"Promotes"	"Overexpression of IRF5 in immortal MDAH041 cells resulted in reduced proliferation rates, reduced cell growth, and increased SA-beta-galactosidase activity."	"Overexpression of IRF5 in immortal MDAH041 cells resulted in reduced proliferation rates, reduced cell growth, and increased SA-beta-galactosidase activity."
IRF7	3665	"Overexpression"	"Li Fraumeni syndrome fibroblast"	"MDAH041"	"Yes"	"Replicative"	"Promotes"	"Overexpression of IRF7 in immortal MDAH041 cells resulted in reduced proliferation rates, reduced cell growth, and increased senescence-associated beta-galactosidase activity."	"Overexpression of IRF7 in immortal MDAH041 cells resulted in reduced proliferation rates, reduced cell growth, and increased senescence-associated beta-galactosidase activity."
ITGB4	3691	"Knockdown"	"Umbilical vein endothelial"	"Primary cell"	"No"	"Replicative"	"Promotes"	"RNA interference of integrin beta4 (ITGB4) in vascular endothelial cells attenuated the senescence phenotype."	"RNA interference of integrin beta4 (ITGB4) in vascular endothelial cells attenuated the senescence phenotype."
ITPK1	3705	"Overexpression"	"Embryonic kidney, Lung fibroblast"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
ITPKB	3707	"Overexpression"	"Embryonic kidney, Lung fibroblast"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
ITSN2	50618	"Knockdown, Overexpression"	"Foreskin fibroblast, Lung fibroblast"	"Hs68, WI-38"	"No"	"Stress-induced"	"Promotes"	"Overexpression of ITSN2 independently induced expression of the p16 and p57, two senescence associated cyclin-dependent kinase inhibitors, which act to block Rb inactivation as downstream effectors of ING1a. ITSN2 was also expressed in normally senescing cells, consistent with elevated levels of ING1a inducing ITSN2 as part of a normal senescence program. Knockdown of ITSN2 blocked the ability of ING1a to induce a senescent phenotype, confirming that ITSN2 is a major transducer of ING1a-induced senescence signalling."	"Overexpression of ITSN2 independently induced expression of the p16 and p57, two senescence associated cyclin-dependent kinase inhibitors, which act to block Rb inactivation as downstream effectors of ING1a. ITSN2 was also expressed in normally senescing cells, consistent with elevated levels of ING1a inducing ITSN2 as part of a normal senescence program. Knockdown of ITSN2 blocked the ability of ING1a to induce a senescent phenotype, confirming that ITSN2 is a major transducer of ING1a-induced senescence signalling."
KCNJ12	3768	"Knockout"	"Prostate cancer, Breast cancer, Gastric cancer"	"PC-3, DU145, LNCaP, MKN74, SNU-484, SNU-638, SNU-668, MCF-7, SK-BR3, T47D"	"Yes"	"Stress-induced"	"Inhibits"	"Knockdown of Kir2.2 (KCNJ12) induced a significant increase in reactive oxygen species, followed by growth arrest, increased SA-beta-galactosidase activity and upregulated senescence markers in cancer cells lacking functional p53, p16, or Rb (including prostate, stomach, and breast cancer cells). Conversely, overexpression of Kir2.2 decreased doxorubicin-induced ROS accumulation and cell growth inhibition."	"Knockdown of Kir2.2 (KCNJ12) induced a significant increase in reactive oxygen species, followed by growth arrest, increased SA-beta-galactosidase activity and upregulated senescence markers in cancer cells lacking functional p53, p16, or Rb (including prostate, stomach, and breast cancer cells). Conversely, overexpression of Kir2.2 decreased doxorubicin-induced ROS accumulation and cell growth inhibition."
KDM4A	9682	"Knockdown"	"Lung cancer"	"A549"	"Yes"	"Replicative"	"Unclear"	"The expression of JMJD2A (KDM4A) inhibited Ras-mediated CHD5 induction, leading to reduced p53 pathway activity. In addition, JMJD2A overexpression in mouse and human lung cancers was shown. Depletion of JMJD2A human lung cancer cells bearing an activated K-Ras allele triggered senescence."	"The expression of JMJD2A (KDM4A) inhibited Ras-mediated CHD5 induction, leading to reduced p53 pathway activity. In addition, JMJD2A overexpression in mouse and human lung cancers was shown. Depletion of JMJD2A human lung cancer cells bearing an activated K-Ras allele triggered senescence."
KDM5B	10765	"Knockdown"	"Colon cancer"	"HCT116, DLD1, Colo201"	"Yes"	"Replicative"	"Inhibits"	"Depletion of JARID1B (KDM5B) resulted in loss of epithelial differentiation and suppressed CRC cell growth, which is associated with induction of phosphorylation by the c-Jun N-terminal kinase (Jnk/Sapk) and SA-beta-galactosidase activity."	"Depletion of JARID1B (KDM5B) resulted in loss of epithelial differentiation and suppressed CRC cell growth, which is associated with induction of phosphorylation by the c-Jun N-terminal kinase (Jnk/Sapk) and SA-beta-galactosidase activity."
KIAA1524	57650	"Knockdown"	"Gastric cancer"	"AGS, HGC-27, KATO-III, BGC-823"	"Yes"	"Replicative"	"Inhibits"	"Depletion of CIP2A (KIAA1524), which is overexpressed in gastric cancer samples, substantially inhibited growth and clonogenic capabilities of tumor cells, and promoted cellular senescence. This effect was independent of the p53 and pRB pathways."	"Depletion of CIP2A (KIAA1524), which is overexpressed in gastric cancer samples, substantially inhibited growth and clonogenic capabilities of tumor cells, and promoted cellular senescence. This effect was independent of the p53 and pRB pathways."
KL	9365	"Knockdown"	"Lung fibroblast"	"MRC-5, WI-38"	"No"	"Replicative"	"Inhibits"	"Downregulation of Klotho (KL) by RNA interference up-regulated p21 expression, induced a flattened and enlarged cell morphology and led to an increased SA-beta-galactosidase activity, ultimately shortening replicative lifespan and reducing the growth rate of lung fibroblasts."	"Downregulation of Klotho (KL) by RNA interference up-regulated p21 expression, induced a flattened and enlarged cell morphology and led to an increased SA-beta-galactosidase activity, ultimately shortening replicative lifespan and reducing the growth rate of lung fibroblasts."
KSR2	283455	"Knockdown"	"Embryonic kidney, Retinal pigment epithelial"	"hTERT-RPE1, HEK293T"	"Yes"	"Replicative"	"Unclear"	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including KSR2) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including KSR2) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."
LATS1	9113	"Knockdown"	"Embryonic kidney, Retinal pigment epithelial"	"hTERT-RPE1, HEK293T"	"Yes"	"Replicative"	"Inhibits"	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including LATS1) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including LATS1) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."
LEO1	123169	"Overexpression"	"Lung fibroblast"	"2BS"	"No"	"Replicative"	"Unclear"	"Overexpression of RDL (LEO1) slightly delayed fibroblast senescence, whereas suppression of RDL expression had no effect on senescence. The introduction of only the Leo1-like domain of RDLp shortened the replicative life span of fibroblasts and promoted senescent features, whilst the introduction of truncated RDL without Leo significantly prolonged cell lifespan and caused a noticeable delay of senescent features."	"Overexpression of RDL (LEO1) slightly delayed fibroblast senescence, whereas suppression of RDL expression had no effect on senescence. The introduction of only the Leo1-like domain of RDLp shortened the replicative life span of fibroblasts and promoted senescent features, whilst the introduction of truncated RDL without Leo significantly prolonged cell lifespan and caused a noticeable delay of senescent features."
LGALS3	3958	"Knockdown"	"Gastric cancer"	"AGS, MKN28, YCC-2, KATO-III, SNU-1, SNU-5, SNU-16, SNU-216, SNU-601, SNU-638, SNU-668, SNU-719"	"Yes"	"Replicative"	"Inhibits"	"In galectin-3 (LGALS3) depleted gastric cancer cells premature senescence, decreased Skp2 and increased p27 expression was shown."	"In galectin-3 (LGALS3) depleted gastric cancer cells premature senescence, decreased Skp2 and increased p27 expression was shown."
LIMA1	51474	"Knockdown"	"Lung fibroblast"	"IMR-90"	"No"	"Stress-induced, Replicative"	"Inhibits"	"Functional studies were performed by silencing nine genes in young cells, which demonstrated that RNA interference-mediated knockdown of P3H1, LIMA1, MAGOH and MAGOHB induced a premature senescent phenotype in IMR-90 cells."	"Functional studies were performed by silencing nine genes in young cells, which demonstrated that RNA interference-mediated knockdown of P3H1, LIMA1, MAGOH and MAGOHB induced a premature senescent phenotype in IMR-90 cells."
